cumulative_rainfall_72h,river_level_trend,soil_saturation_index,elevation_m,risk_level
111.83,0.992,0.2983,93.8,1
119.04,1.574,0.396,189.6,1
131.34,1.761,0.3861,69.3,2
205.66,2.151,0.824,156.4,2
150.56,1.51,0.5925,9.6,2
148.0,1.55,0.5545,83.3,2
107.29,1.207,0.59,138.5,0
109.65,0.83,0.4825,35.5,2
85.15,0.473,0.3987,198.1,0
117.01,1.063,0.3935,41.1,1
44.96,0.37,0.0999,200.9,0
206.19,2.225,0.8277,53.9,2
53.78,0.469,0.229,218.8,0
150.39,2.152,0.4531,136.2,2
191.76,1.972,0.7526,25.9,3
150.19,1.781,0.6019,21.8,3
299.59,4.204,1.0,23.9,3
19.27,-0.159,0.012,133.1,0
69.54,0.501,0.235,179.6,0
189.97,2.81,0.7457,93.4,3
38.52,0.186,0.1613,102.3,0
54.9,0.929,0.268,132.9,1
126.61,1.716,0.5929,121.0,2
96.47,0.969,0.3624,153.9,0
122.13,1.609,0.452,108.0,1
101.46,1.3,0.4409,159.3,1
107.06,1.631,0.4771,219.4,1
58.57,0.361,0.1996,82.3,0
105.04,1.267,0.4834,10.6,3
72.59,0.784,0.3687,34.6,1
78.95,1.153,0.4191,125.3,1
149.23,1.551,0.7392,81.0,2
37.11,0.591,0.0791,207.3,0
13.4,0.101,0.0547,141.0,0
143.05,1.292,0.5731,118.3,1
105.1,1.64,0.4126,177.2,1
191.64,3.189,0.7146,62.8,3
55.9,0.824,0.1048,181.8,0
87.84,1.483,0.3588,8.6,3
98.7,1.131,0.3333,139.4,1
63.32,0.058,0.2601,206.2,0
51.22,-0.21,0.1414,175.0,0
147.21,1.856,0.5009,189.0,1
34.53,0.036,0.1569,92.2,0
45.6,0.074,0.1945,182.7,0
86.04,0.956,0.3905,124.8,1
157.08,2.252,0.8032,139.1,2
66.02,0.177,0.2863,20.5,1
60.71,0.462,0.2816,50.7,0
82.93,1.396,0.2455,124.8,0
115.58,0.94,0.3594,20.5,2
75.08,1.169,0.4269,165.2,0
168.58,1.904,0.6005,186.1,1
172.63,2.316,0.607,203.1,1
86.04,1.337,0.341,29.6,1
255.15,3.571,1.0,207.2,3
97.36,1.395,0.3172,22.3,2
169.35,1.706,0.653,108.5,2
113.69,1.781,0.5531,186.1,1
112.45,0.994,0.3853,22.9,2
28.77,0.188,0.0036,11.9,0
42.93,0.479,0.2471,13.3,1
77.56,1.025,0.3496,116.4,1
171.89,2.25,0.6379,180.1,2
114.65,0.996,0.332,35.0,2
78.01,0.34,0.2525,34.4,1
133.38,1.92,0.5292,128.5,1
168.3,2.218,0.7664,57.7,3
93.7,1.423,0.2919,162.8,1
106.67,1.224,0.4199,209.3,1
98.66,0.666,0.4487,170.4,0
90.13,1.255,0.17,194.0,0
55.49,0.439,0.3047,118.2,0
52.63,0.559,0.1159,184.5,0
132.9,1.397,0.5582,46.8,2
170.12,2.717,0.7002,22.5,3
77.91,0.577,0.3984,147.1,0
76.78,0.729,0.3512,19.0,1
22.91,0.063,0.0,197.2,0
19.52,-0.39,0.0153,154.6,0
195.0,2.601,0.7911,209.9,2
57.96,1.118,0.2162,74.5,0
311.28,3.814,1.0,111.1,3
64.87,0.828,0.3226,165.2,0
29.52,-0.775,0.1668,59.5,0
99.14,1.116,0.3794,122.9,1
146.22,1.614,0.4372,147.8,1
136.98,1.363,0.5115,215.5,1
154.63,2.31,0.6518,165.9,2
48.14,0.266,0.1053,33.0,1
192.39,2.407,0.8201,108.8,2
198.76,2.437,0.8677,132.8,3
203.64,1.935,0.8247,39.1,3
108.88,0.756,0.1904,99.6,1
74.15,1.073,0.1943,68.2,1
69.97,0.067,0.4308,33.2,1
29.4,-0.129,0.0739,116.6,0
65.8,0.452,0.1045,43.1,1
12.47,0.584,0.1487,133.2,0
26.32,0.388,0.1063,44.0,0
108.22,1.114,0.5213,161.4,0
79.59,1.332,0.3405,49.4,1
105.45,0.985,0.4585,198.0,0
139.84,2.076,0.5884,13.6,3
117.12,0.942,0.5243,118.7,1
111.32,1.775,0.6275,75.9,2
88.44,0.885,0.4315,55.7,1
56.55,0.119,0.0998,108.0,0
38.74,0.234,0.1907,186.5,0
66.94,0.83,0.3591,202.0,0
89.35,0.876,0.4536,72.3,1
96.29,1.275,0.351,40.7,1
154.82,1.76,0.7125,160.7,1
84.5,1.187,0.4122,131.4,1
128.32,1.804,0.7191,50.6,2
32.62,0.155,0.0705,169.2,0
109.13,1.103,0.3959,118.0,1
104.61,1.255,0.3939,146.5,1
192.43,2.617,0.7305,84.2,3
79.63,1.551,0.2473,101.1,1
77.53,1.054,0.0891,46.2,0
140.41,2.04,0.5269,168.4,1
40.94,1.419,0.1933,41.3,1
107.45,1.415,0.3903,173.0,1
39.45,0.549,0.3126,177.2,0
240.92,3.37,0.9648,166.3,2
71.14,0.444,0.3878,12.1,2
37.59,0.131,0.1713,65.9,0
66.63,0.539,0.3326,107.3,0
107.84,1.498,0.4537,134.3,1
126.0,1.508,0.6135,202.9,1
186.77,2.415,0.7515,87.6,2
61.47,1.011,0.2856,193.5,0
144.08,2.084,0.6056,42.6,3
26.34,0.051,0.0823,86.7,0
45.82,0.173,0.2157,19.1,1
33.32,0.703,0.312,165.4,0
54.41,0.772,0.196,39.9,1
140.36,1.17,0.595,62.5,2
62.46,0.565,0.3504,172.3,0
70.35,0.838,0.3726,121.4,1
109.56,1.557,0.4392,11.0,2
122.93,1.694,0.3011,8.5,3
71.73,0.874,0.3282,116.3,1
45.6,0.504,0.0048,72.7,0
219.0,2.897,0.9936,46.2,3
72.03,0.529,0.3017,138.1,0
76.69,0.772,0.3867,56.4,1
82.89,0.881,0.2594,133.5,1
130.53,1.503,0.3979,88.4,2
31.33,-0.461,0.1462,47.6,0
266.68,3.311,1.0,37.3,3
75.35,0.805,0.2621,58.2,1
133.1,1.518,0.5392,14.3,3
37.91,0.305,0.373,73.3,0
103.05,1.397,0.479,199.2,0
243.79,2.798,1.0,184.2,2
224.8,2.361,0.9667,86.9,3
131.08,1.522,0.6427,130.1,1
51.95,0.737,0.1926,128.3,0
181.2,2.795,0.5604,183.7,2
26.18,0.383,0.0896,58.1,0
50.67,-0.022,0.2676,70.8,0
88.75,0.872,0.2774,72.0,0
28.1,0.226,0.0983,16.7,1
66.53,0.716,0.2108,74.7,1
145.76,2.039,0.7032,194.1,1
58.19,0.274,0.2927,201.3,0
149.72,1.895,0.651,31.2,2
306.48,4.075,1.0,105.1,3
117.29,1.68,0.4662,88.8,2
148.23,1.551,0.6087,111.7,2
184.71,2.168,0.644,125.6,2
70.59,-0.295,0.1075,12.3,1
146.22,1.586,0.5969,186.6,1
69.49,0.552,0.3039,214.4,0
112.46,1.016,0.5466,146.5,1
159.01,2.097,0.7617,148.0,2
53.61,0.544,0.34,119.9,0
13.61,-0.877,0.0,78.9,0
50.19,0.514,0.1726,39.6,0
172.49,1.859,0.7284,131.8,2
45.94,0.664,0.3863,17.5,1
167.06,1.699,0.7866,182.8,2
50.36,0.51,0.291,97.2,0
81.24,0.773,0.2939,95.9,1
92.56,1.117,0.2996,77.4,1
45.79,0.466,0.2463,213.5,0
81.8,0.762,0.2392,45.1,0
29.46,-0.385,0.0988,40.1,0
74.68,0.274,0.2895,43.1,1
87.94,0.841,0.4792,147.6,0
14.25,-0.068,0.0286,218.3,0
49.9,0.138,0.0045,57.9,0
110.43,1.535,0.4821,200.0,1
42.16,0.215,0.1127,67.1,0
121.34,1.113,0.4888,145.4,1
128.34,1.446,0.5064,16.6,3
110.15,1.36,0.4187,113.1,1
145.22,1.928,0.6441,146.8,1
27.99,0.743,0.0,121.7,0
163.09,1.779,0.611,58.4,2
46.31,0.4,0.24,183.6,0
99.11,1.262,0.3473,213.7,0
238.38,3.015,0.8248,105.3,3
73.66,0.633,0.3481,142.8,0
93.99,0.569,0.4658,175.6,0
46.51,0.221,0.1824,59.2,1
237.06,2.615,0.7914,191.3,2
49.98,-0.126,0.2564,67.4,0
134.87,1.293,0.4067,172.5,1
184.53,1.979,0.7628,31.8,3
142.34,1.912,0.4984,69.1,2
114.2,1.513,0.364,121.1,1
98.19,0.791,0.3574,119.3,1
37.63,0.178,0.1359,188.3,0
231.13,2.31,0.873,219.2,2
108.69,1.122,0.4819,30.7,2
94.02,1.188,0.3404,65.5,1
43.75,0.69,0.2534,83.8,0
96.83,0.867,0.4098,109.5,1
90.44,1.356,0.3059,112.7,1
238.38,2.522,0.8842,189.5,2
93.99,0.563,0.2442,171.4,0
95.88,1.352,0.4068,12.0,3
44.13,0.939,0.1482,104.5,0
56.85,0.624,0.0376,139.0,0
125.71,1.474,0.46,105.6,1
23.93,-0.719,0.0236,35.7,0
162.59,1.381,0.7764,92.3,2
165.1,2.039,0.5242,95.3,2
52.89,0.307,0.0962,47.8,0
114.45,1.01,0.5466,168.3,1
187.94,2.458,0.8603,76.1,2
85.98,0.964,0.2843,132.9,0
76.26,1.123,0.2545,117.3,1
82.25,0.974,0.3783,194.0,0
108.55,1.606,0.248,33.9,1
61.84,0.544,0.0985,32.2,1
72.19,0.709,0.2663,71.7,1
109.84,1.722,0.5633,99.4,2
68.44,0.348,0.2389,71.3,0
41.42,1.319,0.1738,169.8,0
22.24,0.238,0.1797,60.0,0
95.11,1.299,0.549,26.0,2
181.35,2.45,0.6793,95.7,2
117.84,2.056,0.47,172.0,1
42.58,0.696,0.3161,188.3,0
56.58,-0.081,0.1045,163.5,0
75.9,1.345,0.3858,126.3,1
242.66,2.987,0.8892,161.5,3
250.05,3.288,1.0,152.5,2
233.73,2.565,0.9155,57.7,3
101.03,1.31,0.3275,124.8,1
418.41,5.043,1.0,171.4,3
58.46,0.615,0.256,75.2,1
74.14,0.728,0.3762,146.6,1
155.49,2.595,0.6116,110.1,2
110.18,1.989,0.4463,114.7,2
113.92,1.384,0.5014,27.1,2
47.71,0.401,0.1131,149.2,0
90.03,0.909,0.4193,191.5,0
59.04,0.996,0.3017,38.0,1
35.72,0.239,0.3512,85.6,0
63.74,0.48,0.2249,18.3,1
110.2,1.617,0.4041,14.3,3
141.15,1.568,0.6261,217.8,1
21.58,0.072,0.1519,112.6,0
92.63,0.472,0.3277,83.4,1
87.55,1.206,0.3179,66.3,1
106.83,1.947,0.4706,215.8,1
43.14,0.573,0.1064,61.5,0
43.75,0.858,0.1422,161.9,0
184.1,2.035,0.7436,68.2,3
53.36,0.62,0.2931,22.9,2
71.88,0.402,0.2392,152.9,0
76.63,0.669,0.1591,8.3,2
59.78,0.781,0.0858,151.3,0
123.47,1.464,0.3931,61.1,2
117.42,0.847,0.3646,166.2,0
85.16,0.476,0.3283,171.2,0
62.1,0.088,0.1533,161.5,0
81.03,1.028,0.2679,13.2,2
97.39,1.805,0.3276,157.2,1
56.62,1.002,0.1913,217.9,0
128.82,0.943,0.6211,59.4,1
161.91,2.541,0.7006,66.1,2
201.84,2.904,0.8087,180.5,2
194.96,1.92,0.743,42.0,3
76.32,0.695,0.2706,148.0,0
100.31,1.551,0.4275,168.1,1
84.16,1.144,0.3834,15.9,1
83.97,0.431,0.2633,125.4,0
80.68,1.095,0.3256,130.1,1
93.68,0.232,0.2122,72.3,1
177.04,2.159,0.7251,193.8,2
112.17,1.749,0.5097,42.5,2
41.8,0.33,0.1448,85.2,0
158.05,1.861,0.7775,187.9,1
105.96,1.509,0.3533,48.4,1
124.29,1.84,0.5145,182.1,1
110.87,1.759,0.4406,24.8,2
113.87,1.646,0.4475,111.7,2
116.97,1.762,0.4587,24.0,3
25.42,0.367,0.1102,151.7,0
123.37,1.604,0.5613,175.6,1
58.26,0.652,0.3433,188.2,0
68.31,0.623,0.2731,216.0,0
93.22,0.663,0.4381,150.5,0
219.6,2.462,0.8223,171.0,2
46.97,0.339,0.2491,115.2,0
91.31,1.082,0.3043,201.5,1
79.46,1.41,0.4051,144.5,1
156.76,2.018,0.8039,195.3,2
78.09,1.19,0.3026,57.9,1
106.68,1.534,0.2513,113.3,1
47.06,0.306,0.1444,162.7,0
171.78,2.412,0.7857,51.0,3
33.52,0.156,0.1783,52.8,0
122.4,1.936,0.5095,215.3,1
107.07,1.512,0.509,100.1,1
116.41,0.982,0.5044,46.5,1
33.88,0.33,0.2329,78.3,0
77.08,1.443,0.3819,92.2,1
152.46,1.882,0.7316,140.1,1
238.04,3.254,0.9809,203.7,3
87.2,1.198,0.4212,217.2,0
144.38,1.396,0.5529,146.2,1
101.01,1.319,0.3559,156.4,1
89.99,0.59,0.4965,76.2,1
71.59,0.542,0.3037,189.7,0
93.5,1.468,0.4384,54.2,2
137.11,1.799,0.5583,30.6,2
143.57,1.63,0.5274,214.3,1
39.05,0.453,0.1571,191.2,0
67.54,0.732,0.385,72.4,1
45.44,0.413,0.2262,151.1,0
96.35,1.26,0.2485,107.0,1
75.38,0.542,0.2843,76.5,0
114.14,1.433,0.5991,68.8,2
118.77,1.295,0.458,36.8,2
15.95,-0.614,0.0,124.5,0
93.07,0.807,0.5237,102.7,1
179.0,2.832,0.7706,116.6,3
67.56,0.828,0.2646,53.7,1
66.29,0.2,0.2355,207.0,0
161.8,1.519,0.7338,143.4,1
147.37,1.752,0.5461,198.7,1
48.71,1.024,0.2867,31.2,1
139.22,1.655,0.6003,140.0,1
56.19,1.004,0.2443,188.1,0
65.85,0.801,0.2751,78.2,0
48.68,0.589,0.1807,49.4,0
38.83,-0.132,0.239,64.2,0
99.74,1.44,0.3297,65.9,1
34.67,0.053,0.0089,102.8,0
102.16,1.507,0.4578,77.1,1
100.26,0.894,0.4515,65.5,1
84.82,1.019,0.3777,145.5,0
69.6,0.864,0.311,19.2,1
61.14,0.539,0.2189,80.2,0
44.49,0.546,0.241,154.2,0
202.69,2.493,0.8071,45.3,3
82.53,0.659,0.2911,54.8,1
80.83,1.431,0.2984,50.5,1
50.28,0.902,0.3628,8.2,2
190.84,2.086,0.6246,108.4,2
63.66,0.86,0.2946,16.3,1
107.97,0.934,0.2975,65.9,1
120.31,1.015,0.4726,218.9,0
99.79,1.491,0.3645,202.7,0
34.06,-0.438,0.0,53.6,0
135.87,1.992,0.5746,73.7,2
63.24,0.532,0.2226,106.3,0
146.54,1.644,0.4182,187.0,1
89.55,1.181,0.4254,178.2,0
124.55,1.755,0.613,34.8,2
183.83,2.094,0.8545,34.4,3
133.02,1.878,0.5608,96.3,2
126.3,1.56,0.5089,192.5,1
139.38,1.315,0.6638,195.0,1
54.89,0.526,0.3541,30.8,1
150.06,2.38,0.6909,129.8,1
78.65,1.4,0.2393,41.0,2
80.25,1.133,0.3371,153.5,0
97.92,0.722,0.4268,202.3,0
74.17,0.888,0.1519,104.4,0
47.46,0.731,0.2274,25.6,1
93.51,1.404,0.5559,130.8,1
80.49,1.177,0.3732,94.6,1
78.73,1.038,0.4328,179.9,1
87.82,0.961,0.3659,80.2,1
17.45,-0.221,0.064,193.5,0
79.09,0.208,0.3469,66.0,1
196.67,2.59,0.7214,41.4,3
188.04,2.409,0.6751,73.0,3
95.48,1.332,0.4832,15.4,2
93.55,0.646,0.484,67.6,1
13.62,0.139,0.0,147.9,0
65.6,1.426,0.3399,38.2,1
138.59,1.714,0.5474,31.6,2
73.05,0.765,0.3194,36.1,1
165.46,2.193,0.6987,24.4,3
159.87,2.739,0.719,193.4,2
64.78,0.302,0.2657,208.2,0
99.8,1.275,0.512,17.9,3
205.37,2.358,0.8462,169.1,3
33.49,0.052,0.1839,164.3,0
74.07,0.736,0.2296,219.3,0
30.97,0.742,0.2966,81.7,0
52.27,1.131,0.2467,68.5,1
238.83,3.273,1.0,104.1,3
74.06,0.591,0.1676,189.6,0
21.24,0.887,0.0191,162.5,0
47.13,0.31,0.2875,108.0,0
28.5,-0.039,0.1369,59.8,0
102.09,0.481,0.2553,162.1,0
119.28,1.95,0.5602,189.2,1
151.2,2.184,0.5613,92.8,2
134.38,2.534,0.6504,149.7,2
34.7,-0.254,0.1318,92.8,0
115.81,1.89,0.4796,109.4,2
85.5,1.019,0.4363,119.3,1
163.57,2.286,0.5825,172.5,1
143.11,1.137,0.493,215.2,1
256.21,3.838,1.0,102.2,3
49.76,0.755,0.2652,80.6,0
44.97,0.313,0.0734,87.2,0
68.21,0.864,0.1394,36.4,1
87.6,0.741,0.4163,71.0,1
59.86,0.361,0.1912,26.3,1
51.55,0.294,0.1748,98.7,0
111.39,0.587,0.297,43.5,1
68.08,0.978,0.218,81.4,1
58.2,0.982,0.2322,176.2,0
34.65,0.027,0.213,60.1,0
14.76,0.049,0.0,137.7,0
191.39,2.403,0.8981,199.1,2
188.23,2.473,0.6982,128.2,2
145.59,1.541,0.5277,49.1,2
126.6,1.275,0.6294,81.1,2
64.1,1.024,0.2733,133.2,0
129.58,1.52,0.4741,115.4,1
42.75,1.05,0.1586,39.5,1
98.37,1.197,0.5017,102.7,1
54.97,0.254,0.3372,123.1,0
129.89,1.965,0.4542,64.7,2
213.09,2.952,0.849,137.8,3
47.0,0.666,0.1952,22.9,1
66.16,1.053,0.1857,79.4,1
97.27,0.881,0.3846,178.5,0
23.45,0.034,0.0942,63.0,0
29.57,0.15,0.2095,136.3,0
209.64,2.281,0.9351,94.9,3
111.68,1.208,0.4204,75.1,1
61.82,1.075,0.2302,202.2,0
91.15,1.136,0.4177,80.8,1
68.4,0.213,0.2268,58.2,0
99.01,0.615,0.4431,200.8,1
70.04,1.31,0.2731,166.1,1
86.89,0.896,0.27,152.5,0
136.52,1.396,0.4695,18.5,2
131.53,1.553,0.6419,35.8,2
203.09,2.07,0.7999,143.3,2
116.32,1.942,0.5965,52.4,2
94.67,0.917,0.3376,55.8,2
219.92,3.319,0.903,173.2,3
81.42,1.004,0.5171,68.6,1
16.12,0.444,0.0,23.2,0
146.61,1.816,0.4346,15.7,3
108.39,1.618,0.5365,102.0,2
92.01,1.257,0.3019,138.8,1
148.81,2.051,0.5936,192.2,0
70.42,0.834,0.2348,31.5,1
16.87,-0.085,0.0889,49.7,0
150.48,2.489,0.5259,120.3,1
60.4,0.271,0.2272,85.2,1
48.32,0.446,0.2293,110.3,0
17.7,-0.032,0.0,203.9,0
143.39,1.87,0.5176,123.5,1
11.23,-0.257,0.0171,96.0,0
183.02,2.365,0.6178,217.8,2
74.85,0.722,0.2656,21.8,2
147.28,1.263,0.5986,205.6,1
118.38,1.395,0.4415,114.4,1
242.53,2.749,0.9484,114.8,3
116.52,0.773,0.4645,203.5,0
179.24,2.281,0.6645,115.6,2
64.81,0.856,0.3145,100.9,1
29.47,0.404,0.2328,65.8,0
160.27,2.174,0.6039,147.7,1
28.79,-0.504,0.154,128.8,0
142.49,1.259,0.5508,53.4,1
44.4,1.077,0.2068,158.4,0
109.64,0.981,0.5638,144.5,1
245.06,3.404,1.0,92.2,3
136.21,1.346,0.403,8.9,2
81.64,0.939,0.3629,102.7,1
119.98,1.257,0.5786,9.3,3
66.35,0.867,0.2477,23.9,1
297.38,3.866,1.0,99.3,3
57.42,0.369,0.1745,25.4,0
87.23,0.544,0.2301,66.4,1
129.3,1.66,0.5285,147.0,1
114.97,0.865,0.3194,73.4,1
122.59,1.606,0.4712,219.5,1
67.25,1.662,0.3719,202.3,0
79.56,1.26,0.1654,132.1,0
156.11,2.136,0.5221,213.0,1
151.78,1.804,0.5245,192.0,1
116.58,0.701,0.4612,75.6,1
191.73,1.957,0.7377,166.9,2
159.62,2.49,0.7504,37.0,3
149.19,1.6,0.6731,153.1,1
28.36,-0.078,0.1531,112.1,0
115.76,1.318,0.4747,11.6,2
103.84,0.848,0.4468,66.1,1
205.43,2.162,0.7528,210.5,2
6.66,-0.14,0.0952,75.0,0
84.24,0.573,0.248,46.5,1
98.82,0.908,0.4621,47.8,1
43.99,0.14,0.2708,109.6,0
50.17,0.644,0.2175,186.6,0
205.8,2.543,0.8091,168.7,2
122.32,1.416,0.5213,100.6,2
245.36,3.28,0.7525,52.3,3
83.29,0.878,0.3573,17.8,2
33.72,0.12,0.1258,106.1,0
76.01,0.977,0.3,180.7,0
67.96,0.964,0.3284,162.7,0
138.93,1.641,0.5498,94.6,1
135.76,1.633,0.4518,134.1,2
125.85,1.233,0.4921,100.5,2
287.58,3.4,1.0,130.8,3
185.54,2.621,0.7514,117.7,2
52.61,0.649,0.2234,152.4,0
162.58,2.227,0.7335,115.6,2
